Date,Open,High,Low,Close,Volume,Adj Close
2000-02-18,115.25,115.94,111.50,112.50,7673400,93.24
2000-02-17,116.50,118.88,115.75,116.75,5237500,96.76
2000-02-16,116.50,117.31,115.25,115.75,3966900,95.93
2000-02-15,115.88,117.44,113.88,117.12,5177500,97.07
2000-02-14,116.00,116.38,114.50,116.06,4544000,96.19
2000-02-11,119.06,119.44,114.56,115.38,5749400,95.62
2000-02-10,117.69,119.12,116.88,119.12,4446600,98.73
2000-02-09,119.00,119.75,117.00,117.38,5374700,97.28
2000-02-08,116.94,119.00,116.19,118.81,5464300,98.47
2000-02-07,116.00,116.88,113.12,114.12,5779500,94.49
2000-02-04,118.19,118.44,114.81,115.62,5405300,95.73
2000-02-03,115.00,117.50,114.06,117.12,6213800,96.97
2000-02-02,112.00,115.81,110.38,113.50,7707700,93.97
2000-02-01,112.38,113.44,109.12,110.00,7304700,91.07
2000-01-31,111.38,112.81,109.62,112.25,6202700,92.93
2000-01-28,112.75,114.19,110.06,111.56,6669400,92.36
2000-01-27,118.00,118.44,111.62,113.50,8324600,93.97
2000-01-26,119.06,119.94,116.00,116.75,4895100,96.66
2000-01-25,116.75,119.50,116.00,119.12,6936900,98.63
2000-01-24,121.88,122.88,116.56,121.50,6499200,100.59
2000-01-21,121.88,123.00,119.94,121.50,7868700,100.59
2000-01-20,123.00,124.75,119.00,119.00,17783400,98.52
2000-01-19,115.56,122.00,112.69,119.50,8634500,98.94
2000-01-18,119.69,119.75,115.00,115.75,7643900,95.83
2000-01-14,120.94,123.31,117.50,119.62,10956600,99.04
2000-01-13,119.94,121.00,115.75,118.25,8489700,97.90
2000-01-12,119.62,122.00,118.25,119.50,6803800,98.94
2000-01-11,117.88,121.12,116.62,119.00,7873300,98.52
2000-01-10,117.25,119.38,115.38,118.00,8540500,97.69
2000-01-07,117.25,117.94,110.62,113.50,11856700,93.97
2000-01-06,118.00,118.94,113.50,114.00,7971900,94.38
2000-01-05,112.94,119.75,112.12,116.00,12733200,96.04
2000-01-04,114.00,114.50,110.88,112.06,8227800,92.78
2000-01-03,112.44,116.00,111.88,116.00,10347700,96.04
1999-12-31,109.19,109.50,106.62,107.88,2870300,89.31
1999-12-30,109.69,110.50,108.56,108.75,3435100,90.04
1999-12-29,110.44,110.50,108.75,109.00,2683300,90.24
1999-12-28,109.56,110.75,109.06,109.81,4083100,90.92
1999-12-27,109.69,110.00,108.12,109.75,3740700,90.86
1999-12-23,109.12,110.44,108.19,108.62,4528700,89.93
1999-12-22,109.88,110.31,108.00,108.00,4005600,89.41
1999-12-21,108.50,110.12,108.06,110.12,4773500,91.17
1999-12-20,109.06,110.44,107.75,109.20,4836300,90.41
1999-12-17,110.69,111.06,108.62,110.00,7676800,91.07
1999-12-16,108.00,109.69,105.75,109.19,7122300,90.40
1999-12-15,107.75,107.94,104.50,107.00,9437900,88.59
1999-12-14,110.19,110.19,106.88,109.25,7437900,90.45
1999-12-13,108.12,112.75,106.56,109.70,7135200,90.82
1999-12-10,111.62,111.94,107.56,109.00,12588800,90.24
1999-12-09,120.50,122.12,112.25,113.38,16643000,93.86
1999-12-08,116.25,121.00,115.50,118.28,8139800,97.93
1999-12-07,117.00,119.19,115.44,116.62,11326100,96.56
1999-12-06,113.00,116.50,112.50,116.00,9928300,96.04
1999-12-03,109.81,112.88,107.94,111.88,14680300,92.62
1999-12-02,103.44,106.31,103.38,105.27,6216900,87.15
1999-12-01,102.56,104.44,102.25,103.42,5336400,85.62
1999-11-30,103.69,104.50,102.12,103.06,5758700,85.33
1999-11-29,104.94,104.94,103.38,104.19,5677700,86.26
1999-11-26,105.94,106.00,104.12,105.00,3108400,86.93
1999-11-24,105.00,105.00,101.81,104.50,9710400,86.52
1999-11-23,108.81,109.88,106.00,106.06,10665200,87.81
1999-11-22,105.50,108.44,104.44,107.88,13681600,89.31
1999-11-19,99.00,105.12,98.38,103.94,19678400,86.05
1999-11-18,94.00,98.25,93.56,98.00,18720500,81.14
1999-11-17,94.88,94.88,92.62,93.75,8355100,77.62
1999-11-16,94.62,95.00,93.00,94.62,8537400,78.34
1999-11-15,96.00,96.38,93.88,94.06,6259400,77.88
1999-11-12,96.00,96.25,93.00,95.88,9668400,79.38
1999-11-11,97.50,97.50,94.88,95.00,7147500,78.65
1999-11-10,94.62,97.06,94.12,97.00,8680300,80.31
1999-11-09,95.06,95.50,92.12,93.62,9551200,77.51
1999-11-08,90.50,93.94,90.50,93.94,8522300,77.77
1999-11-05,92.75,92.94,90.19,90.25,13737600,74.62
1999-11-04,94.44,94.44,90.00,91.56,16697600,75.70
1999-11-03,95.88,95.94,93.50,94.38,10369100,78.03
1999-11-02,96.75,96.81,93.69,94.81,11105400,78.39
1999-11-01,98.50,98.81,96.38,96.75,9551800,79.99
1999-10-29,97.00,99.00,96.25,98.25,11078500,81.23
1999-10-28,94.50,95.31,94.25,94.94,9446700,78.50
1999-10-27,95.50,95.56,92.81,93.00,9871400,76.89
1999-10-26,94.88,96.00,94.62,95.50,11367400,78.96
1999-10-25,94.25,95.12,92.12,93.88,13765400,77.62
1999-10-22,93.75,94.62,92.50,93.94,26668700,77.67
1999-10-21,93.00,93.00,89.00,91.00,69444700,75.24
1999-10-20,108.62,113.06,107.00,107.00,11376700,88.47
1999-10-19,107.00,108.50,105.44,107.12,9184700,88.57
1999-10-18,108.00,109.00,104.69,107.00,9678300,88.47
1999-10-15,106.44,108.88,103.88,107.88,13920700,89.19
1999-10-14,106.50,107.25,104.69,107.00,14178500,88.47
1999-10-13,110.81,110.88,105.00,105.06,15015000,86.87
1999-10-12,114.00,114.88,110.00,110.00,8274900,90.95
1999-10-11,113.50,116.69,113.12,114.25,7827100,94.46
1999-10-08,115.00,115.06,111.06,113.50,17867900,93.84
1999-10-07,119.12,119.19,115.06,116.38,14240000,96.22
1999-10-06,122.25,122.75,119.06,119.19,8054900,98.55
1999-10-05,122.00,123.25,119.06,122.00,6435700,100.87
1999-10-04,118.00,120.00,116.75,119.88,7042000,99.11
1999-10-01,121.00,121.06,115.50,117.75,10558900,97.36
1999-09-30,121.00,122.25,119.62,121.00,6642500,100.04
1999-09-29,122.06,122.81,120.00,120.06,8775600,99.27
1999-09-28,123.00,124.75,121.69,123.50,7103400,102.11
1999-09-27,126.62,126.81,121.38,123.00,7075100,101.70
1999-09-24,120.50,125.00,120.44,125.00,7450800,103.35
1999-09-23,127.50,127.81,121.44,122.00,7590000,100.87
1999-09-22,127.19,127.25,124.38,125.19,8091900,103.51
1999-09-21,128.75,129.62,126.25,127.12,6983600,105.11
1999-09-20,126.50,130.88,126.00,130.12,7543000,107.59
1999-09-17,131.38,131.44,123.75,125.38,14857800,103.66
1999-09-16,132.00,132.38,129.56,130.00,6092600,107.49
1999-09-15,134.00,135.00,131.94,131.94,5655400,109.09
1999-09-14,132.00,133.56,131.94,133.31,4590700,110.22
1999-09-13,134.62,135.56,132.00,132.38,4442300,109.45
1999-09-10,137.50,137.69,134.38,135.00,5089300,111.62
1999-09-09,132.50,136.50,131.62,134.75,8423100,111.41
1999-09-08,131.50,133.94,130.69,130.75,7206100,108.11
1999-09-07,128.88,132.69,128.38,132.00,7552900,109.14
1999-09-03,128.38,129.75,128.00,128.86,5282900,106.54
1999-09-02,126.50,126.75,124.25,125.88,5583100,104.07
1999-09-01,125.62,128.50,125.50,127.25,6264400,105.21
1999-08-31,124.38,126.00,122.88,124.56,6214400,102.99
1999-08-30,124.25,125.62,122.69,123.19,4773000,101.85
1999-08-27,125.00,125.19,122.75,124.00,4354600,102.52
1999-08-26,122.62,125.88,122.06,122.94,6245300,101.65
1999-08-25,122.00,124.06,120.88,122.38,6463000,101.18
1999-08-24,123.38,123.62,121.00,122.00,8442100,100.87
1999-08-23,122.75,124.88,122.31,124.44,6043500,102.89
1999-08-20,124.38,124.38,121.06,121.75,5962000,100.66
1999-08-19,123.88,124.88,121.25,122.94,7583300,101.65
1999-08-18,128.38,129.62,123.50,123.88,6607000,102.42
1999-08-17,128.50,128.56,126.56,128.50,5136400,106.25
1999-08-16,125.00,127.88,124.50,127.38,4889000,105.32
1999-08-13,122.75,124.50,122.00,123.38,4400400,102.01
1999-08-12,123.75,123.81,121.00,121.12,5027800,100.15
1999-08-11,120.12,123.75,119.81,123.31,5543000,101.96
1999-08-10,121.50,122.50,118.94,119.31,5846200,98.65
1999-08-09,123.62,124.44,121.12,122.19,4048100,101.03
1999-08-06,122.00,127.00,121.00,123.50,6142600,102.11
1999-08-05,120.00,124.00,117.56,123.19,7364500,101.75
1999-08-04,120.00,121.88,118.06,118.50,5754800,97.88
1999-08-03,122.75,123.12,118.19,119.38,6855900,98.60
1999-08-02,124.00,126.00,121.81,122.25,4565100,100.98
1999-07-30,125.94,126.69,124.38,125.69,4324900,103.82
1999-07-29,126.25,126.62,124.62,125.38,5707500,103.56
1999-07-28,126.38,128.69,125.81,128.38,5287600,106.04
1999-07-27,125.00,126.50,123.56,126.25,6513500,104.28
1999-07-26,123.62,125.12,122.75,123.00,5519900,101.60
1999-07-23,124.00,125.44,122.62,124.81,6964200,103.10
1999-07-22,127.62,128.50,123.50,123.88,8869100,102.32
1999-07-21,127.50,129.75,126.88,129.00,8792300,106.55
1999-07-20,132.00,132.12,126.06,128.25,14307400,105.94
1999-07-19,136.50,138.88,133.69,134.62,7626500,111.20
1999-07-16,136.38,137.50,135.38,136.25,5123100,112.54
1999-07-15,138.00,138.12,134.50,136.31,5583600,112.60
1999-07-14,138.31,138.50,136.19,137.25,4724000,113.37
1999-07-13,135.75,139.19,135.75,137.88,5645700,113.89
1999-07-12,137.44,138.69,135.38,137.81,5046900,113.83
1999-07-09,134.00,137.44,133.88,137.38,4795900,113.47
1999-07-08,132.50,135.50,132.12,134.00,6092900,110.68
1999-07-07,131.00,133.50,130.62,132.81,6648900,109.70
1999-07-06,132.50,133.88,130.81,131.00,5709300,108.21
1999-07-02,130.88,132.25,129.50,132.25,3543600,109.24
1999-07-01,130.00,131.31,128.00,131.00,5911600,108.21
1999-06-30,124.81,132.00,124.38,129.25,8257300,106.76
1999-06-29,123.00,125.31,122.75,124.62,5223800,102.94
1999-06-28,124.00,124.69,122.19,122.56,6233300,101.24
1999-06-25,123.31,125.75,123.12,123.12,4563600,101.70
1999-06-24,123.12,124.44,121.56,122.56,5231200,101.24
1999-06-23,122.25,124.19,121.75,122.94,4418800,101.55
1999-06-22,123.88,127.75,123.00,123.38,6791300,101.91
1999-06-21,122.88,125.75,122.62,124.75,6466300,103.04
