exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,ZN,2009-10-12,10.00,10.29,9.79,9.93,66500,9.93
AMEX,ZN,2009-10-09,9.69,9.98,9.69,9.96,42600,9.96
AMEX,ZN,2009-10-08,9.75,9.86,9.64,9.64,38200,9.64
AMEX,ZN,2009-10-07,9.53,9.69,9.45,9.59,21400,9.59
AMEX,ZN,2009-10-06,9.34,9.50,9.23,9.46,42900,9.46
AMEX,ZN,2009-10-05,9.38,9.47,9.09,9.30,70500,9.30
AMEX,ZN,2009-10-02,8.85,9.42,8.79,9.38,65800,9.38
AMEX,ZN,2009-10-01,9.73,9.85,8.44,8.92,202200,8.92
AMEX,ZN,2009-09-30,10.20,10.30,9.73,9.76,98400,9.76
AMEX,ZN,2009-09-29,10.41,10.41,10.20,10.28,47200,10.28
AMEX,ZN,2009-09-28,10.42,10.44,10.21,10.33,37500,10.33
AMEX,ZN,2009-09-25,10.28,10.35,10.25,10.30,28200,10.30
AMEX,ZN,2009-09-24,10.40,10.45,10.28,10.29,41000,10.29
AMEX,ZN,2009-09-23,10.50,10.65,10.36,10.41,26000,10.41
AMEX,ZN,2009-09-22,10.51,10.74,10.35,10.52,60600,10.52
AMEX,ZN,2009-09-21,10.69,10.69,10.20,10.37,98800,10.37
AMEX,ZN,2009-09-18,10.60,11.07,10.50,11.05,188900,11.05
AMEX,ZN,2009-09-17,10.50,10.59,10.31,10.48,205200,10.48
AMEX,ZN,2009-09-16,10.78,10.78,10.50,10.60,68200,10.60
AMEX,ZN,2009-09-15,10.93,10.93,10.75,10.83,25300,10.83
AMEX,ZN,2009-09-14,10.92,10.92,10.55,10.88,31600,10.88
AMEX,ZN,2009-09-11,10.87,11.00,10.51,10.73,61000,10.73
AMEX,ZN,2009-09-10,10.70,11.37,10.55,10.83,82000,10.83
AMEX,ZN,2009-09-09,10.29,10.76,10.13,10.64,66400,10.64
AMEX,ZN,2009-09-08,10.12,10.32,10.10,10.32,79600,10.32
AMEX,ZN,2009-09-04,10.48,10.48,10.04,10.27,74700,10.27
AMEX,ZN,2009-09-03,10.27,10.50,10.06,10.18,60800,10.18
AMEX,ZN,2009-09-02,12.02,12.02,9.69,10.05,188300,10.05
AMEX,ZN,2009-09-01,10.40,11.23,10.15,11.14,120200,11.14
AMEX,ZN,2009-08-31,10.40,10.40,10.02,10.09,65100,10.09
AMEX,ZN,2009-08-28,10.34,10.34,9.35,10.21,82300,10.21
AMEX,ZN,2009-08-27,9.95,10.35,9.80,10.35,87100,10.35
AMEX,ZN,2009-08-26,9.91,9.97,9.70,9.91,29900,9.91
AMEX,ZN,2009-08-25,9.88,9.98,9.73,9.91,52300,9.91
AMEX,ZN,2009-08-24,9.89,9.99,9.68,9.78,106700,9.78
AMEX,ZN,2009-08-21,9.93,10.00,9.60,9.88,144000,9.88
AMEX,ZN,2009-08-20,9.91,9.99,9.71,9.89,77300,9.89
AMEX,ZN,2009-08-19,10.00,10.00,9.44,9.94,75700,9.94
AMEX,ZN,2009-08-18,9.46,9.95,9.46,9.82,46300,9.82
AMEX,ZN,2009-08-17,10.00,10.00,9.30,9.44,53200,9.44
AMEX,ZN,2009-08-14,10.19,10.30,9.70,9.78,78800,9.78
AMEX,ZN,2009-08-13,10.07,10.19,9.91,10.19,26200,10.19
AMEX,ZN,2009-08-12,10.00,10.12,9.95,10.08,33400,10.08
AMEX,ZN,2009-08-11,10.14,10.15,9.95,10.07,43500,10.07
AMEX,ZN,2009-08-10,10.01,10.28,9.99,10.14,42400,10.14
AMEX,ZN,2009-08-07,10.01,10.29,9.85,10.29,66200,10.29
AMEX,ZN,2009-08-06,10.37,10.37,9.85,10.30,80300,10.30
AMEX,ZN,2009-08-05,9.99,10.32,9.89,10.32,81300,10.32
AMEX,ZN,2009-08-04,9.90,10.00,9.70,9.91,56100,9.91
AMEX,ZN,2009-08-03,9.80,9.99,9.54,9.87,174700,9.87
AMEX,ZN,2009-07-31,9.49,9.75,9.30,9.48,140200,9.48
AMEX,ZN,2009-07-30,10.21,10.40,9.70,9.95,180300,9.95
AMEX,ZN,2009-07-29,10.50,10.50,10.11,10.16,38600,10.16
AMEX,ZN,2009-07-28,10.40,10.82,10.28,10.47,73300,10.47
AMEX,ZN,2009-07-27,10.34,10.50,10.28,10.44,49600,10.44
AMEX,ZN,2009-07-24,9.99,11.35,9.46,10.22,261500,10.22
AMEX,ZN,2009-07-23,9.73,9.90,9.30,9.85,79700,9.85
AMEX,ZN,2009-07-22,9.89,9.89,9.07,9.53,39900,9.53
AMEX,ZN,2009-07-21,9.51,9.89,9.05,9.35,80000,9.35
AMEX,ZN,2009-07-20,9.98,9.98,8.50,9.83,90200,9.83
AMEX,ZN,2009-07-17,9.74,9.74,9.02,9.31,53900,9.31
AMEX,ZN,2009-07-16,8.99,9.49,8.78,9.15,147600,9.15
AMEX,ZN,2009-07-15,8.59,8.95,8.34,8.94,80800,8.94
AMEX,ZN,2009-07-14,8.39,8.43,8.10,8.33,49400,8.33
AMEX,ZN,2009-07-13,8.20,8.38,8.10,8.21,74600,8.21
AMEX,ZN,2009-07-10,8.71,8.71,8.00,8.11,69400,8.11
AMEX,ZN,2009-07-09,8.92,8.92,8.22,8.37,50100,8.37
AMEX,ZN,2009-07-08,8.31,8.75,8.10,8.38,105000,8.38
AMEX,ZN,2009-07-07,8.51,8.99,8.25,8.46,121000,8.46
AMEX,ZN,2009-07-06,8.39,9.20,8.05,8.75,340100,8.75
AMEX,ZN,2009-07-02,9.20,9.20,8.05,8.39,280200,8.39
AMEX,ZN,2009-07-01,10.67,10.67,8.88,8.98,452800,8.98
AMEX,ZN,2009-06-30,12.12,12.39,10.41,10.62,286600,10.62
AMEX,ZN,2009-06-29,12.14,13.38,11.25,12.08,540400,12.08
AMEX,ZN,2009-06-26,7.43,14.61,7.35,13.30,2137700,13.30
AMEX,ZN,2009-06-25,7.25,7.35,6.99,7.34,124100,7.34
AMEX,ZN,2009-06-24,7.48,7.64,7.08,7.08,89500,7.08
AMEX,ZN,2009-06-23,7.27,7.58,7.14,7.20,72500,7.20
AMEX,ZN,2009-06-22,8.24,8.24,7.05,7.10,99100,7.10
AMEX,ZN,2009-06-19,8.47,8.47,8.00,8.00,53000,8.00
AMEX,ZN,2009-06-18,8.03,8.68,8.03,8.35,74700,8.35
AMEX,ZN,2009-06-17,8.34,8.45,8.13,8.43,51900,8.43
AMEX,ZN,2009-06-16,8.21,8.69,8.04,8.23,64700,8.23
AMEX,ZN,2009-06-15,8.09,8.20,7.95,7.98,61300,7.98
AMEX,ZN,2009-06-12,8.44,8.69,8.00,8.44,60200,8.44
AMEX,ZN,2009-06-11,8.98,8.98,8.10,8.30,72000,8.30
AMEX,ZN,2009-06-10,8.71,9.02,8.29,8.44,65600,8.44
AMEX,ZN,2009-06-09,8.99,8.99,8.40,8.96,82200,8.96
AMEX,ZN,2009-06-08,8.49,8.69,8.05,8.66,60100,8.66
AMEX,ZN,2009-06-05,8.15,8.40,8.03,8.08,58600,8.08
AMEX,ZN,2009-06-04,8.53,8.75,8.26,8.50,43400,8.50
AMEX,ZN,2009-06-03,8.99,9.06,8.01,8.79,79100,8.79
AMEX,ZN,2009-06-02,9.76,10.00,8.00,8.94,113800,8.94
AMEX,ZN,2009-06-01,8.76,10.10,8.76,9.87,178600,9.87
AMEX,ZN,2009-05-29,7.36,8.91,7.25,8.78,119700,8.78
AMEX,ZN,2009-05-28,7.48,7.48,6.70,7.27,40500,7.27
AMEX,ZN,2009-05-27,7.10,7.65,6.90,7.00,59000,7.00
AMEX,ZN,2009-05-26,7.15,7.36,6.90,7.00,86300,7.00
AMEX,ZN,2009-05-22,7.51,7.51,7.26,7.30,52300,7.30
AMEX,ZN,2009-05-21,8.46,8.46,7.53,7.53,35000,7.53
AMEX,ZN,2009-05-20,8.17,8.25,7.90,8.21,61300,8.21
AMEX,ZN,2009-05-19,8.90,8.90,8.00,8.25,53400,8.25
AMEX,ZN,2009-05-18,9.98,9.98,7.88,8.45,107000,8.45
AMEX,ZN,2009-05-15,10.00,10.00,9.20,9.51,39600,9.51
AMEX,ZN,2009-05-14,9.93,9.95,9.50,9.95,25000,9.95
AMEX,ZN,2009-05-13,10.22,10.22,9.81,9.93,25600,9.93
AMEX,ZN,2009-05-12,10.58,10.58,10.20,10.27,23100,10.27
AMEX,ZN,2009-05-11,10.01,10.50,9.91,10.40,35900,10.40
AMEX,ZN,2009-05-08,10.70,10.70,10.12,10.12,22100,10.12
AMEX,ZN,2009-05-07,10.38,10.87,10.02,10.64,31800,10.64
AMEX,ZN,2009-05-06,9.70,10.58,9.70,10.58,55800,10.58
AMEX,ZN,2009-05-05,10.57,10.60,9.46,9.98,80200,9.98
AMEX,ZN,2009-05-04,10.19,10.57,10.00,10.57,93600,10.57
AMEX,ZN,2009-05-01,10.49,10.49,9.66,10.05,100900,10.05
AMEX,ZN,2009-04-30,10.70,10.70,9.49,10.27,60900,10.27
AMEX,ZN,2009-04-29,9.98,10.20,9.63,10.00,75000,10.00
AMEX,ZN,2009-04-28,10.14,10.14,9.52,9.66,44700,9.66
AMEX,ZN,2009-04-27,10.34,10.34,9.26,9.50,43200,9.50
AMEX,ZN,2009-04-24,10.40,10.45,9.50,9.65,49900,9.65
AMEX,ZN,2009-04-23,10.70,10.70,10.30,10.35,28500,10.35
AMEX,ZN,2009-04-22,11.08,11.08,9.89,10.56,39600,10.56
AMEX,ZN,2009-04-21,10.26,10.60,9.61,10.60,68000,10.60
AMEX,ZN,2009-04-20,9.40,9.75,8.75,9.54,61300,9.54
AMEX,ZN,2009-04-17,8.75,9.55,8.53,9.07,69500,9.07
AMEX,ZN,2009-04-16,8.57,8.88,8.30,8.51,48200,8.51
AMEX,ZN,2009-04-15,8.91,8.92,8.15,8.57,98100,8.57
AMEX,ZN,2009-04-14,9.26,9.36,8.90,8.93,51400,8.93
AMEX,ZN,2009-04-13,10.00,10.24,9.13,9.36,104600,9.36
AMEX,ZN,2009-04-09,10.74,10.74,10.03,10.05,29600,10.05
AMEX,ZN,2009-04-08,10.17,10.33,10.05,10.17,19100,10.17
AMEX,ZN,2009-04-07,10.26,10.45,10.11,10.29,19800,10.29
AMEX,ZN,2009-04-06,10.54,11.00,10.42,10.49,58000,10.49
AMEX,ZN,2009-04-03,10.90,11.00,10.61,11.00,28900,11.00
AMEX,ZN,2009-04-02,11.75,11.80,10.75,10.90,71100,10.90
AMEX,ZN,2009-04-01,12.50,12.50,11.71,11.74,29900,11.74
AMEX,ZN,2009-03-31,11.99,11.99,11.75,11.80,25200,11.80
AMEX,ZN,2009-03-30,12.40,12.40,11.75,11.79,20100,11.79
AMEX,ZN,2009-03-27,11.81,12.48,11.81,12.27,20100,12.27
AMEX,ZN,2009-03-26,12.00,12.25,11.76,12.10,33200,12.10
AMEX,ZN,2009-03-25,12.37,12.37,11.76,11.85,34100,11.85
AMEX,ZN,2009-03-24,12.00,12.40,11.85,11.85,31700,11.85
AMEX,ZN,2009-03-23,11.77,12.50,11.77,11.88,34500,11.88
AMEX,ZN,2009-03-20,11.57,12.00,11.57,11.77,31800,11.77
AMEX,ZN,2009-03-19,11.99,11.99,11.71,11.90,17600,11.90
AMEX,ZN,2009-03-18,11.51,12.28,11.50,11.75,67500,11.75
AMEX,ZN,2009-03-17,11.99,12.30,11.30,12.30,36500,12.30
AMEX,ZN,2009-03-16,11.73,12.00,11.00,11.55,69400,11.55
AMEX,ZN,2009-03-13,12.00,12.50,11.00,11.49,90800,11.49
AMEX,ZN,2009-03-12,13.10,13.25,12.00,12.00,90000,12.00
AMEX,ZN,2009-03-11,13.16,13.81,13.00,13.10,36500,13.10
AMEX,ZN,2009-03-10,14.17,14.17,13.38,13.85,33700,13.85
AMEX,ZN,2009-03-09,14.00,14.00,13.20,13.83,34600,13.83
AMEX,ZN,2009-03-06,13.24,13.45,12.70,13.42,27700,13.42
AMEX,ZN,2009-03-05,13.13,13.50,12.00,12.80,61100,12.80
AMEX,ZN,2009-03-04,12.99,14.50,12.99,14.09,56300,14.09
AMEX,ZN,2009-03-03,14.60,14.60,12.45,12.83,60500,12.83
AMEX,ZN,2009-03-02,14.33,14.59,12.25,13.45,107100,13.45
AMEX,ZN,2009-02-27,14.48,14.80,13.79,14.65,74900,14.65
AMEX,ZN,2009-02-26,12.96,14.94,12.50,13.70,137700,13.70
AMEX,ZN,2009-02-25,17.00,17.46,10.30,11.49,467800,11.49
AMEX,ZN,2009-02-24,16.08,17.68,15.80,17.03,273000,17.03
AMEX,ZN,2009-02-23,12.58,16.58,12.50,15.26,295800,15.26
AMEX,ZN,2009-02-20,11.85,12.74,11.85,12.50,70200,12.50
AMEX,ZN,2009-02-19,11.93,12.13,10.60,11.85,114700,11.85
AMEX,ZN,2009-02-18,10.38,11.50,9.63,11.05,82500,11.05
AMEX,ZN,2009-02-17,9.84,10.49,9.51,10.38,65800,10.38
AMEX,ZN,2009-02-13,9.45,9.85,9.35,9.69,28500,9.69
AMEX,ZN,2009-02-12,8.70,9.40,8.70,9.40,13600,9.40
AMEX,ZN,2009-02-11,9.01,9.01,8.50,8.99,20500,8.99
AMEX,ZN,2009-02-10,9.53,9.88,8.80,8.80,56500,8.80
AMEX,ZN,2009-02-09,9.53,9.53,9.10,9.30,33100,9.30
AMEX,ZN,2009-02-06,9.00,9.50,8.75,9.48,35000,9.48
AMEX,ZN,2009-02-05,8.70,9.00,8.50,8.90,17200,8.90
AMEX,ZN,2009-02-04,8.74,9.00,8.25,8.47,12400,8.47
AMEX,ZN,2009-02-03,8.00,8.72,7.99,8.68,19400,8.68
AMEX,ZN,2009-02-02,7.66,8.00,7.66,8.00,28200,8.00
AMEX,ZN,2009-01-30,7.93,9.00,7.58,7.97,123400,7.97
